"Alpha","Fold","Lambda","MAE","RMSE","R2"
0,2,61.8150937422454,115.855925004827,136.750105481502,0.18706773314775
0,2,55.0125303025558,115.804423461722,136.792651158117,0.186561815678404
0,2,48.9585683216614,115.770945928766,136.871122977799,0.185628281855429
0,2,43.5708264812431,115.756216791706,136.983280705734,0.184293076844012
0,2,38.7759892770118,115.760846399193,137.12740708225,0.182575688704039
0,2,34.5088093533919,115.799234291735,137.315739847804,0.180328822063574
0,2,30.7112196282441,115.848739355394,137.527043448974,0.177804235546564
0,2,27.3315431255683,115.918017211222,137.769142139752,0.174906947619286
0,2,24.3237897637187,116.075431278729,138.044219290835,0.171608809486118
0,2,21.6470305299413,116.285207365136,138.354392294245,0.167881985565198
0,2,19.2648405251046,116.535890891886,138.730055250718,0.163357079749453
0,2,17.1448032996662,116.790666403046,139.132968232637,0.158490307314356
0,2,15.2580697359626,117.061000392468,139.57898372242,0.153086441498342
0,2,13.5789654741639,117.407005056293,140.112910006491,0.146594715182749
0,2,12.0846415398102,117.821204475588,140.683524515143,0.139629517917726
0,2,10.7547634187279,118.281259445975,141.310216375174,0.131947195243413
0,2,9.57123434830684,118.792328558754,142.052288652739,0.122806323559271
0,3,95712.3434830683,135.419602974196,168.680416318973,-0.00333317516571952
0,3,85179.4905973343,135.414067782657,168.669111789895,-0.00319869803746342
0,3,75805.7462014279,135.407851387236,168.656418597236,-0.00304771229889034
0,3,67463.5539242722,135.400870403652,168.64216742936,-0.00287820795959171
0,3,60039.394586257,135.393031358127,168.626168664407,-0.00268793465013584
0,3,53432.2414489247,135.384229497548,168.608210021413,-0.0024743740156381
0,3,47552.1854597398,135.374347467134,168.5880539626,-0.0022347092366517
0,3,42319.2117844982,135.363253843228,168.565434826865,-0.00196579146199172
0,3,37662.110978632,135.350801508056,168.540055674522,-0.00166410294327668
0,3,33517.5099808067,135.336825848311,168.511584820349,-0.00132571663207481
0,3,29829.0097427323,135.32114278894,168.479652058685,-0.000946252325586094
0,3,26546.4177601956,135.303546589293,168.443844516272,-0.000520828647454952
0,3,23625.0650617232,135.283807462797,168.403702185156,-4.40115479694025e-05
0,3,21025.1983605694,135.26166895528,168.358713087305,0.000490241174707529
0,3,18711.439098532,135.236845091914,168.308308092698,0.00108863898129252
0,3,16652.3020203549,135.209017282316,168.251855404891,0.00175862104802349
0,3,14819.766727556,135.177830980722,168.188654746443,0.00250842155501663
0,3,13188.8963814564,135.142892103894,168.117931296883,0.00334713702141387
0,3,11737.4983667829,135.103763217092,168.038829461936,0.00428479456558151
0,3,10445.8222982125,135.05995950857,167.950406585496,0.00533241954920405
0,3,9296.29126037878,135.010944586026,167.851626756533,0.0065021005490874
0,3,8273.26262410027,134.956126144885,167.741354913102,0.00780704897700024
0,3,7362.81518405712,134.894851578774,167.618351505941,0.00926164992470069
0,3,6552.55972132006,134.82640362763,167.481268055989,0.0108814999404224
0,3,5831.4704128981,134.749996189224,167.328644024163,0.0126834264426505
0,3,5189.73479415388,134.664770455836,167.158905508065,0.0146854823545925
0,3,4618.62023239971,134.569791579778,166.970366388088,0.0169069083203406
0,3,4110.3550946691,134.464046119379,166.761232662453,0.0193680535833997
0,3,3658.02299261441,134.346440570387,166.52961083274,0.0220902453395508
0,3,3255.4686654324,134.215801345445,166.2735213216,0.0250955952236359
0,3,2897.21422008824,134.071340713299,165.9909180121,0.028406730702294
0,3,2578.3845890486,133.911465978306,165.679715078833,0.0320464387214555
0,3,2294.64119116496,133.734654020823,165.337822314728,0.0360372092539939
0,3,2042.12289297532,133.540364691822,164.963190119107,0.0404006677199935
0,3,1817.39346703557,133.326503955886,164.553865171078,0.0451568879657447
0,3,1617.39483230184,133.091375906241,164.108057532529,0.0503235819661687
0,3,1439.40544026699,132.833596621128,163.624219469128,0.0559151690177303
0,3,1281.00324057642,132.554538037033,163.101135610159,0.0619417361902519
0,3,1140.03272216542,132.25415100282,162.538023161487,0.0684079133093525
0,3,1014.57558141935,131.928269258202,161.934639730628,0.0753116995665458
0,3,902.924618213772,131.574947168666,161.291394937884,0.0826432944161004
0,3,803.560504616077,131.193251998116,160.609460433724,0.0903840016114631
0,3,715.131110121055,130.782503754458,159.890871335008,0.0985052903596919
0,3,636.433102081484,130.346521770537,159.138610608729,0.106968109342712
0,3,566.395570955507,129.887144720264,158.356666811512,0.115722555029696
0,3,504.065457545829,129.429784114705,157.550055124438,0.12470799239573
0,3,448.594583927009,128.946541273102,156.724792110387,0.133853711310688
0,3,399.228111579834,128.503478233168,155.887816332476,0.143080173872839
0,3,355.294269672978,128.148939138256,155.046850068075,0.152300866880132
0,3,316.195213716086,127.784670404854,154.210201809325,0.161424721718213
0,3,281.398890190334,127.409224610397,153.386514784633,0.170359005933188
0,3,250.431796451709,127.070546500994,152.58465756963,0.179010545449607
0,3,222.872537384956,126.727730606081,151.812742170953,0.187296193595117
0,3,198.346091128197,126.412310027093,151.078703683823,0.19513629506868
0,3,176.518705837153,126.152987182104,150.389443770481,0.202463533050485
0,3,157.093358044976,125.935567502118,149.750699532253,0.209223847934955
0,3,139.805710815793,125.750077362029,149.166849506612,0.215378004775835
0,3,124.420516691185,125.591897452929,148.640799146709,0.22090232714461
0,3,110.728416481486,125.513661696724,148.173952579282,0.225788575030297
0,3,98.5430903403902,125.437980201153,147.766268710814,0.230043024456931
0,3,87.6987223551414,125.365254197545,147.416391729674,0.2336848744828
0,3,78.0477441508835,125.295959937302,147.121839803824,0.236744155595412
0,3,69.4588268045008,125.230527233521,146.879232059399,0.239259337604203
0,3,61.8150937422454,125.16933504878,146.684532983127,0.241274834734102
0,3,55.0125303025558,125.116561684461,146.533294954402,0.242838584379789
0,3,48.9585683216614,125.070571868725,146.420883042705,0.243999840119681
