"Alpha","Fold","Lambda","MAE","RMSE","R2"
0.25,5,4.56013088866168,109.140658799664,134.495194410979,0.317907166742483
0.25,5,4.05830232567741,109.179024541184,134.600236767181,0.316841305350345
0.25,5,3.61169847285509,109.221679415406,134.689031886527,0.315939655127197
0.25,5,3.21424201846431,109.269453393847,134.760753870224,0.315210936136042
0.25,5,2.86052444048422,109.311310779824,134.819068339571,0.314618155971605
0.25,5,2.54573240832593,109.33340263089,134.882265453004,0.313975453028478
0.25,5,2.26558228382203,109.338069801607,134.917300583055,0.313619022468347
0.25,5,2.01626183018332,109.32736407357,134.93424259731,0.313446629359662
0.25,5,1.79437833570804,109.316408462712,134.94646382297,0.313322259096324
0.25,5,1.59691244631933,109.300069289577,134.95168268354,0.313269145519564
0.25,5,1.42117707869191,109.280834520521,134.951538806687,0.313270609815815
0.25,5,1.26478085486434,109.259484692414,134.946799483122,0.313318843065483
0.25,5,1.12559556076134,109.242731992084,134.943834471767,0.313349017846478
0.25,5,1.00172718580684,109.222622635156,134.936711972321,0.313421500478846
0.25,5,0.891490149539825,109.202353619683,134.927711329303,0.313513090703451
0.25,5,0.793384364512787,109.188394499475,134.922609999181,0.313564998945466
0.25,5,0.706074823348611,109.160248166694,134.903514959138,0.313759281820761
0.25,5,0.628373432179904,109.141215018746,134.890447749034,0.313892218569671
0.25,5,0.559222843263172,109.119190884993,134.873975148872,0.314059781050934
0.25,5,0.497682066764738,109.096733061904,134.854486135882,0.314258000640395
0.25,5,0.442913665925944,109.073172581402,134.832393939887,0.314482662142844
0.25,5,0.394172361361561,109.048488912754,134.808061087332,0.314730066889834
0.25,5,0.350794889420565,109.033897468667,134.793799898356,0.314875047049213
0.25,5,0.312190976603534,109.017790503357,134.77830371228,0.315032564880121
0.25,5,0.277835307218003,109.000523167503,134.761444814744,0.315203914025365
0.25,5,0.247260374968981,108.982426060146,134.743356540534,0.315387734376866
0.5,1,191.424686966137,127.073140559464,161.211480400507,0.086397801230919
0.5,1,170.358981194669,124.813962309835,156.95087795584,0.134050226976866
0.5,1,151.611492402856,122.709350498982,153.070899899943,0.17633526015585
0.5,1,134.927107848544,120.738757357877,149.571929384006,0.213560360332823
0.5,1,120.078789172514,118.933031838599,146.44616352967,0.246087052754069
0.5,1,106.864482897849,117.233040480192,143.678789395993,0.274311026808654
0.5,1,95.1043709194795,115.641409192514,141.249393178727,0.298644212076258
0.5,1,84.6384235689963,114.213619014668,139.133470317784,0.319499514958881
