"Alpha","Lambda","Mean_MAE","SD_MAE","Mean_RMSE","SD_RMSE","Mean_R2","SD_R2"
0.5,0.710588539345956,117.844902702138,6.15237159190314,140.012633888961,5.22826044955641,0.259874474275311,0.0749846704330499
0.75,0.473725692897304,117.893802817189,6.15232503854938,140.080621443002,5.23942831344954,0.259142087634197,0.0752852710381402
0.5,0.632390427432172,117.979786540862,6.16153908038026,140.197240626353,5.25966324915835,0.257782238037155,0.0771965143988571
0.75,0.421593618288114,118.025858583431,6.15930203153015,140.263181912644,5.26901988070639,0.257070666678483,0.0774817132603403
0.25,1.12559556076134,118.053990894078,6.21864737828889,140.29483063883,5.33853712656647,0.256427824727773,0.0817921826693818
0.25,94.5002602468927,117.128514915073,5.28241434755202,140.45041902936,4.86390496490922,0.256025264424237,0.0609780309090679
0.75,56.4256157126642,117.148240926745,5.30973340384719,140.524953942658,4.94918624193598,0.255207116170094,0.0615765102493957
0.5,0.562797780380668,118.293719706063,6.19157249121468,140.636308792234,5.39054762480663,0.252529104146142,0.0858251033978305
0.75,0.375198520253778,118.376543366872,6.19576190779184,140.76040661938,5.43078844339274,0.251086890016485,0.0876204480021235
0.25,1.00172718580684,118.369022238096,6.28421623303471,140.760464957749,5.55199630064879,0.250814053149876,0.0913082399625263
0.5,75.324221957264,117.503878133744,5.14423918760584,141.133312582661,4.87821458349654,0.248906790610259,0.0593243790009603
0.5,0.500863592903419,118.627842682425,6.28924569376447,141.149966278338,5.70398966258165,0.246244919409583,0.0971402346368299
0.25,0.891490149539825,118.676213804042,6.40366979083848,141.247753742527,5.91669610457998,0.2448258263631,0.102137262545225
0.75,0.333909061935612,118.72618611631,6.30965725619448,141.306067393153,5.79785795534622,0.24437691826526,0.0999034948935063
0.25,106.185671040782,117.702979961719,5.04247394529041,141.468193236323,4.807387743141,0.245439287214203,0.0577825184348388
0.5,0.445745074769913,118.953898315782,6.44688700291613,141.696095098557,6.20237665284646,0.239451347047599,0.109800156627079
0.25,0.793384364512787,118.97344043283,6.56425917128281,141.750189769256,6.41634124019552,0.23855387723727,0.113823698113929
